@RELATION 2-6_duration
@ATTRIBUTE startTime Numeric
@ATTRIBUTE duration Numeric
@data
1109,11
1199,41
1246,7
1261,86
1067,28
1101,47
1159,18
1240,67
1086,33
1138,19
1161,24
1187,10
1202,38
1244,87
1247,6
1268,35
1141,10
1154,8
1165,28
1197,8
1219,25
1249,98
1075,8
1083,17
1101,57
1161,23
1205,20
1239,11
1284,40
1127,11
1145,29
1176,48
1232,19
1253,18
1273,86
1173,2
1176,44
1224,22
1258,38
1077,13
1096,10
1113,54
1169,51
1226,80
1182,35
1220,50
1277,20
1062,11
1075,21
1098,111
1220,82
1182,45
1232,11
1246,42
1130,6
1142,5
1157,6
1203,30
1265,17
1163,53
1218,29
1250,75
1157,59
1233,34
1274,36
1094,9
1109,34
1153,131
1071,7
1086,15
1114,4
1124,4
1131,11
1149,10
1163,30
1196,4
1205,40
1246,7
1266,49
1102,45
1149,53
1219,73
1056,14
1088,21
1120,32
1165,34
1202,46
1256,37
1084,53
1157,10
1173,70
1251,36
1293,17
1102,13
1120,48
1169,3
1176,2
1184,54
1248,33
1285,65
1075,32
1110,5
1116,5
1122,11
1137,30
1170,17
1192,31
1231,65
1138,11
1164,51
1221,75
1061,5
1068,16
1106,20
1132,9
1155,7
1162,14
1181,49
1235,47
1112,44
1161,15
1179,73
1254,9
1278,12
1156,15
1172,28
1203,3
1247,16
1265,39
1079,13
1097,31
1130,22
1164,14
1186,59
1248,8
1272,11
1286,19
1059,13
1075,37
1147,4
1187,72
1266,8
1291,7
1092,7
1129,8
1146,14
1173,23
1225,18
1249,46
1111,4
1117,7
1129,33
1178,10
1190,5
1201,42
1252,34
1128,4
1137,21
1163,57
1222,40
1269,79
1068,81
1155,6
1166,13
1180,92
1062,24
1069,5
1115,17
1129,53
1206,37
1247,32
1280,6
1287,13
1113,56
1184,13
1209,117
1228,13
1247,125
1096,18
1119,11
1132,61
1198,75
1277,99
1063,36
1106,84
1196,8
1208,4
1217,30
1249,40
1290,172
1076,2
1092,28
1121,74
1196,3
1200,20
1237,25
1264,128
1147,5
1173,39
1214,5
1224,4
1259,6
1277,9
1131,9
1148,10
1162,11
1205,35
1242,15
1285,5
1080,4
1099,6
1144,29
1177,10
1193,12
1222,7
1236,34
1272,23
1132,29
1162,155
1072,26
1113,49
1164,10
1176,46
1223,8
1238,51
1059,10
1073,32
1112,14
1127,4
1135,10
1147,10
1158,9
1174,11
1196,45
1244,12
1263,10
1291,41
1105,30
1156,5
1163,6
1172,43
1224,110
1066,114
1208,114
1121,50
1172,141
1107,15
1126,26
1168,18
1203,20
1225,16
1253,54
1124,84
1230,18
1263,54
1099,60
1194,73
1276,54
1100,19
1122,10
1151,3
1173,10
1184,36
1275,65
1062,21
1115,50
1170,72
1270,49
1092,19
1281,65
1105,9
1121,30
1155,9
1179,27
1209,18
1228,23
1253,33
1293,39
1056,3
1117,16
1202,23
1227,70
1182,6
1189,90
1280,11
1096,3
1100,26
1127,34
1172,26
1200,81
1286,81
1163,5
1179,13
1194,10
1207,50
1259,77
1131,77
1210,22
1246,26
1275,76
1227,94
1203,111
1077,6
1085,35
1121,35
1158,8
1172,39
1212,31
1252,33
1288,60
1239,6
1246,6
1253,127
1079,7
1105,6
1112,10
1126,10
1141,14
1160,19
1181,14
1201,9
1211,115
1102,15
1127,61
1190,18
1216,58
1275,21
1178,10
1241,15
1274,9
1184,12
1206,44
1254,22
1278,8
1286,30
1100,9
1129,4
1136,4
1142,23
1187,8
1198,43
1245,27
1276,78
1176,4
1185,59
1250,81
1209,12
1224,22
1248,168
1081,18
1104,15
1121,93
1220,9
1232,18
1254,179
1077,18
1096,98
1211,50
1264,4
1270,69
1084,22
1123,9
1160,49
1211,51
1268,3
1272,13
1289,7
1225,8
1246,65
1083,12
1120,94
1219,80
1126,19
1187,93
1143,22
1165,16
1186,35
1222,21
1246,4
1253,18
1275,3
1280,19
