@RELATION 12_startTime
@ATTRIBUTE startTime Numeric
@ATTRIBUTE duration Numeric
@data
340,0
343,0
481,9
507,6
515,53
574,0
584,4
593,1
596,0
599,0
602,0
604,84
693,7
701,1
703,0
703,3
707,178
913,9
925,0
928,19
970,5
981,0
991,1
994,1
1026,0
1047,0
1047,0
1053,1
1057,0
1075,0
1077,362
258,0
260,0
468,6
478,0
480,21
515,0
537,6
545,21
570,4
577,4
672,2
674,93
768,11
780,0
781,23
805,0
805,2
810,7
825,3
829,121
951,9
960,18
979,0
980,1
985,0
989,0
990,0
990,0
991,349
1358,9
263,0
267,0
537,11
559,1
568,0
577,0
581,46
630,6
671,0
685,0
708,6
716,2
722,0
729,0
731,23
769,12
781,237
1019,6
1025,0
1026,1
1027,26
1054,54
1121,78
1241,5
1254,7
1347,0
1356,10
1406,1
1432,9
34,0
35,0
223,0
226,0
227,2
231,0
454,0
457,12
477,3
486,0
493,1
510,2
516,7
525,105
715,7
726,1
740,0
743,0
750,0
758,0
774,51
852,15
873,3
878,0
880,0
882,0
908,1
913,27
941,0
955,5
969,0
971,2
981,3
1005,3
1015,0
1027,0
1032,7
1047,2
1050,0
1060,0
1066,0
1095,6
1149,9
1177,14
1205,31
1240,0
1308,4
1319,1
1368,10
1425,6
339,0
343,0
486,9
499,1
501,0
514,1
519,0
543,0
549,0
560,17
578,4
584,4
602,1
625,3
638,50
691,11
703,1
704,0
704,0
705,0
706,120
826,11
840,5
846,0
856,0
857,1
899,21
974,17
1000,2
1002,14
1016,12
1030,14
1045,7
1053,0
1059,6
1084,1
1120,0
1123,0
1124,0
1134,3
1157,3
1185,1
1197,5
1240,4
1331,12
1408,7
1424,9
30,0
32,0
331,0
334,0
519,6
535,2
541,1
551,0
563,4
578,10
592,0
594,18
613,0
618,1
623,0
692,1
694,2
696,5
701,125
827,0
833,0
836,2
840,0
848,0
855,2
887,8
895,16
912,17
934,12
950,25
984,83
1080,0
1083,1
1086,0
1090,0
1091,0
1100,2
1105,5
1119,16
1141,0
1144,1
1150,7
1241,6
1254,13
1303,11
1436,2
0,9
401,7
419,5
426,3
445,2
449,0
472,78
552,10
569,10
580,479
1059,31
1097,1
1108,0
1114,0
1122,0
1133,8
1152,2
1163,2
1194,2
1205,13
1244,5
1348,5
1394,12
313,0
316,0
520,5
535,37
574,1
591,0
593,4
607,0
613,45
668,34
702,103
806,12
824,0
832,4
844,12
856,91
948,48
1026,3
1047,27
1083,0
1100,0
1159,1
1184,13
1200,4
1225,0
1227,5
1233,6
1251,1
1253,9
1282,0
1283,0
1324,0
1325,5
1335,1
1344,16
271,0
275,0
493,13
515,8
531,1
536,0
542,6
584,22
610,6
620,1
623,6
632,5
642,37
683,22
706,0
706,0
706,117
823,4
828,0
828,1
831,0
843,18
861,50
912,10
956,1
969,1
990,0
998,1
1000,2
1002,0
1003,0
1004,1
1014,1
1125,1
1138,6
1174,1
1225,7
1252,1
1271,1
1360,17
1388,4
1398,12
1421,15
316,0
320,1
534,2
547,8
561,2
569,21
594,126
722,1
800,1
830,11
846,0
854,4
903,11
947,13
1006,3
1089,0
1094,48
1146,1
1160,0
1162,11
1176,0
1221,3
1246,11
1296,1
1345,12
362,8
381,2
385,0
387,0
396,1
400,0
408,85
498,1
500,222
722,2
743,304
1056,20
1090,0
1096,0
1107,4
1113,0
1167,0
1169,0
1220,5
1307,9
1424,10
332,0
335,0
453,6
471,29
508,34
547,13
584,33
621,0
627,8
639,1
641,65
706,5
712,176
888,1
889,0
890,8
899,0
900,2
902,0
903,1
904,0
905,0
905,0
906,0
908,0
929,1
939,0
946,11
968,7
975,172
1148,7
1170,1
1179,2
1217,3
1271,6
1298,7
1320,108
37,0
39,0
528,13
556,1
572,0
576,0
591,0
592,0
603,10
619,42
662,6
670,11
681,5
690,1
698,4
702,21
723,11
787,16
807,1
820,1
834,0
846,1
872,0
907,2
928,0
933,9
1008,6
1045,0
1050,12
1074,0
1075,0
1097,1
1210,10
1303,8
1360,4
1404,17
24,0
25,0
178,0
181,0
425,7
440,0
442,2
448,92
547,0
547,0
548,22
571,557
1129,4
1135,3
1158,0
1175,0
1177,4
1227,5
1244,1
1288,9
1403,7
0,15
339,0
343,0
593,7
605,18
629,3
636,43
691,5
697,15
713,0
713,194
908,47
991,3
999,2
1021,0
1026,0
1034,1
1047,0
1128,2
1137,4
1147,9
1163,2
1176,1
1181,1
1203,0
1233,1
1236,5
1261,0
1263,2
1282,13
1358,21
1435,58
460,14
479,6
487,33
524,15
599,1
619,84
703,225
929,1
937,11
959,2
1000,1
1017,9
1140,22
1216,1
1247,3
1326,0
1418,12
6,8
36,0
37,1
211,0
214,0
498,2
506,6
515,33
551,7
562,11
586,0
594,1
615,45
671,8
729,28
764,2
776,3
785,0
807,1
813,4
820,9
876,8
895,81
998,159
1216,17
1268,6
1311,4
1360,5
1374,5
1388,4
1417,1
17,0
21,0
377,4
395,1
413,78
491,3
495,1
496,163
660,53
784,11
808,8
816,0
816,2
819,69
888,9
898,2
900,0
900,0
901,0
901,0
901,4
906,1
907,2
910,1
911,28
957,1
960,1
993,15
1078,16
1104,5
1144,9
1284,29
1339,0
1340,0
344,0
347,1
392,2
403,7
412,29
443,72
530,28
566,0
570,8
588,1
625,1
674,118
816,13
890,6
931,5
952,1
1009,2
1022,0
1048,2
1067,3
1079,7
1102,0
1107,1
1112,1
1119,1
1122,2
1129,0
1130,0
1142,6
1159,4
1193,3
1201,4
1246,0
1253,12
1315,1
1352,4
1392,16
12,15
353,0
356,0
517,6
535,0
544,3
563,4
575,9
590,2
621,53
675,71
746,11
764,7
845,30
894,10
947,10
960,1
987,2
1006,6
1033,10
1047,2
1092,9
1147,1
1202,17
1293,2
1317,0
1386,27
1436,6
17,3
37,0
40,0
339,0
342,0
507,45
602,42
644,101
746,1
756,0
770,0
783,4
810,1
815,0
827,2
830,0
831,25
856,52
909,42
956,19
981,74
1070,17
1110,10
1153,12
1200,1
1248,7
1294,4
1423,26
48,0
51,0
341,0
345,0
503,4
521,2
525,5
594,0
606,83
718,0
720,2
738,4
747,0
748,6
754,1
755,0
756,12
769,56
825,2
828,10
849,32
897,0
898,0
899,0
957,1
964,14
1017,10
1027,348
1376,16
1406,10
21,11
44,5
351,0
355,0
542,6
553,3
560,0
572,3
623,58
681,158
840,4
844,0
845,18
879,1
920,2
928,0
934,7
967,2
1001,22
1052,32
1138,19
1168,4
1243,7
1288,5
1311,2
1337,2
1350,3
1390,16
1424,11
324,0
328,1
533,5
544,15
570,10
595,32
658,229
899,2
953,59
1074,0
1081,0
1083,2
1086,2
1090,11
1115,5
1168,0
1173,3
1179,4
1238,9
1281,4
1350,0
1357,5
1403,7
1424,0
1425,0
321,0
324,0
498,1
509,11
523,1
542,79
642,1
646,1
671,215
948,78
1074,1
1107,2
1115,0
1121,0
1134,3
1168,2
1187,5
1223,8
1297,0
1301,2
1307,0
1313,8
1408,5
14,20
98,0
99,0
398,22
433,5
451,186
637,1
639,0
639,240
880,3
895,5
909,7
927,0
973,41
1015,94
1109,7
1125,2
1136,2
1150,4
1156,0
1164,0
1216,5
1297,4
1304,0
1324,1
1402,14
5,11
39,0
40,0
363,0
366,0
523,13
552,64
623,0
625,0
631,60
692,0
692,0
693,142
835,1
843,0
865,6
872,39
912,8
936,19
960,2
967,4
984,11
996,8
1004,31
1044,1
1059,1
1067,1
1084,9
1104,1
1126,5
1142,13
1162,0
1176,4
1230,4
1282,16
1345,4
531,7
546,0
553,2
585,19
612,2
629,52
682,141
823,5
887,3
930,3
959,4
989,7
1065,9
1090,5
1101,0
1111,0
1156,4
1177,2
1252,1
1264,14
1290,15
1348,1
1363,1
1390,18
271,0
276,0
355,2
365,3
369,3
401,73
478,0
483,28
511,163
674,28
703,227
931,1
932,0
932,16
1143,13
1172,0
1201,1
1207,1
1226,1
1246,0
1264,1
1305,0
1310,0
1365,2
1402,12
8,8
39,0
42,0
505,11
522,1
529,0
531,2
547,13
596,57
655,0
661,10
672,3
675,6
681,0
681,11
693,0
693,0
694,264
959,16
1010,1
1041,1
1063,5
1076,3
1093,4
1129,1
1152,11
1178,8
1246,2
1256,15
1283,3
1306,6
1401,14
2,13
451,0
456,0
468,2
486,33
527,4
566,43
621,36
670,7
678,0
678,11
690,264
954,0
955,0
955,0
956,0
956,1
958,0
958,31
1046,1
1056,3
1072,2
1112,35
1152,0
1162,3
1169,1
1183,0
1187,0
1260,6
1275,16
1299,4
1350,6
1379,0
1381,0
275,0
279,0
357,2
380,1
408,85
494,167
661,29
690,0
691,0
701,0
783,57
845,32
882,37
926,57
999,3
1012,31
1047,2
1068,2
1074,2
1085,7
1099,29
1138,8
1161,11
1196,28
1244,5
1296,2
1323,14
258,0
262,0
412,83
495,13
509,14
587,0
589,4
599,0
605,1
607,0
608,2
613,2
620,82
702,115
818,7
825,16
842,0
852,0
864,0
876,56
989,4
997,2
1001,4
1033,3
1047,4
1100,11
1116,0
1124,4
1163,15
1188,1
1196,5
1244,8
1286,10
1400,28
20,0
23,0
315,0
317,0
499,14
525,0
532,0
541,1
560,5
573,30
606,5
618,0
624,74
699,175
875,6
881,0
882,9
891,25
917,7
929,1
939,0
953,33
1014,6
1054,0
1064,54
1119,0
1119,0
1119,0
1120,8
1133,4
1159,4
1220,1
1262,7
1348,11
245,0
247,0
528,9
554,0
571,4
603,21
627,28
700,2
702,0
703,0
704,138
842,15
873,10
908,4
923,1
935,11
995,14
1019,8
1029,1
1034,4
1049,2
1068,0
1150,5
1162,4
1179,0
1272,21
1383,22
189,0
192,0
357,4
366,8
387,2
398,20
421,60
484,0
488,20
508,288
796,4
815,15
840,14
861,8
869,115
985,5
1008,0
1014,5
1053,9
1086,11
1098,1
1099,0
1100,189
1289,16
1315,0
1326,0
1337,4
1346,0
1365,6
1380,8
357,8
377,5
385,1
398,11
432,53
486,88
575,7
582,226
808,3
851,0
957,32
1054,1
1061,8
1074,14
1088,1
1090,24
1132,10
1142,245
1388,2
1403,2
1410,0
1436,12
96,3
509,10
525,1
531,0
552,106
659,146
805,23
847,34
888,2
896,20
926,5
971,0
989,1
1120,9
1183,23
1243,3
1279,0
1286,0
1301,0
1338,6
1352,4
1372,8
1406,0
1423,0
1426,0
227,0
230,0
357,7
377,0
396,54
456,36
492,171
664,7
691,0
721,4
730,0
736,1
741,1
773,27
846,3
900,5
941,0
972,4
1004,0
1007,3
1022,0
1038,0
1039,0
1052,0
1108,5
1170,14
1198,10
1326,8
183,0
186,0
357,5
367,2
374,0
389,81
471,107
578,6
585,0
585,2
596,0
608,0
619,0
633,2
636,0
662,0
682,5
703,17
751,0
759,17
779,3
793,0
811,0
812,6
825,5
841,0
862,1
866,6
879,8
896,20
916,1
918,16
935,247
1183,8
1198,4
1205,2
1220,0
1227,1
1241,5
1373,21
4,4
380,0
383,0
517,3
526,7
546,2
566,23
601,0
601,1
603,0
610,0
615,46
666,16
683,0
684,4
689,223
912,4
949,0
950,0
957,2
962,0
968,5
979,10
993,42
1050,8
1063,14
1077,1
1078,12
1091,0
1091,5
1115,4
1131,0
1193,4
1273,3
1377,15
1,8
42,0
43,0
312,0
316,0
502,11
530,2
556,24
591,2
601,0
609,77
687,56
744,9
760,1
762,202
964,7
985,2
995,6
1012,10
1030,2
1063,0
1099,6
1191,5
1205,2
1213,4
1247,1
1290,0
23,9
417,13
441,1
454,0
466,60
527,111
639,21
668,2
672,1
679,0
684,0
691,12
703,143
847,8
879,0
902,3
1047,29
1079,13
1121,0
1196,0
1199,0
1221,3
1237,0
1263,1
1392,22
1439,0
366,0
369,0
519,9
546,0
555,6
572,0
587,8
612,8
633,1
638,2
642,0
646,56
703,198
901,14
932,0
949,2
959,10
969,63
1033,11
1068,0
1085,24
1141,5
1153,20
1213,1
1219,4
1229,29
1265,12
1287,19
1317,17
1355,4
1369,18
1395,4
1404,1
40,16
87,0
88,0
425,0
427,0
506,2
513,4
523,0
529,1
560,2
577,2
585,34
627,2
631,0
638,22
660,211
872,1
904,7
940,82
1030,7
1071,4
1131,0
1141,7
1159,2
1173,1
1176,0
1184,20
1241,1
1258,27
1290,19
1319,0
1330,4
1366,6
1389,3
1416,7
103,5
443,0
448,0
468,3
475,2
491,0
548,59
608,101
710,4
727,0
753,6
766,30
799,8
808,140
949,71
1066,13
1085,0
1099,0
1106,2
1108,26
1135,9
1174,2
1188,5
1206,16
1230,6
1271,1
1296,4
1312,4
1321,4
1417,16
23,0
24,0
312,0
317,0
485,12
500,0
507,0
517,4
526,3
552,0
563,59
623,138
761,23
791,5
801,0
806,6
812,72
884,4
889,2
892,3
906,41
977,29
1007,116
1124,7
1161,0
1318,5
1332,20
5,31
625,11
659,0
695,8
717,3
725,34
763,36
806,32
863,3
902,18
927,15
963,0
972,1
1007,0
1011,0
1016,0
1020,0
1026,0
1027,0
1035,0
1037,2
1068,0
1072,0
1099,0
1102,3
1112,0
1162,1
1174,1
1222,0
1232,6
1289,12
1366,3
5,6
54,0
55,0
367,0
371,0
523,16
549,4
556,1
564,1
597,2
622,34
657,177
835,7
852,10
881,4
885,20
906,25
939,2
960,6
985,7
1020,0
1058,1
1070,3
1105,6
1126,1
1131,3
1145,1
1157,0
1168,6
1185,10
1242,1
1256,7
1274,17
1333,0
1340,3
1347,1
1385,13
1404,1
3,0
31,0
32,0
34,0
309,0
312,0
416,5
435,0
451,78
529,140
670,6
687,2
703,21
730,1
747,123
871,61
933,3
948,1
969,40
1015,17
1041,64
1136,1
1146,10
1162,0
1169,2
1215,8
1335,3
1347,11
202,0
205,0
398,1
406,3
412,3
418,0
434,59
494,224
719,4
809,0
816,0
821,0
830,1
838,3
890,2
897,1
904,0
913,29
965,44
1014,18
1033,353
1387,18
1411,10
357,6
367,9
378,30
409,168
578,0
581,2
602,11
654,4
673,5
680,5
729,5
756,98
865,0
885,2
888,0
888,3
892,51
944,12
965,0
970,1
975,0
993,4
1052,3
1062,4
1181,27
1323,2
1341,11
1393,7
294,0
300,0
356,6
371,0
375,0
378,0
410,6
426,11
561,33
615,12
637,7
651,1
666,15
691,21
736,0
741,0
816,14
839,27
867,4
871,22
894,202
1097,24
1171,0
1313,17
537,13
560,10
609,40
664,12
689,49
748,32
781,120
902,49
951,1
953,92
1053,25
1088,26
1132,266
21,6
32,8
253,39
