@RELATION predict

@ATTRIBUTE act_last_two  {Meal_Preparation,Relax,Eating,Work,Sleeping,Wash_Dishes,Bed_to_Toilet,Enter_Home,Leave_Home,Housekeeping,Resperate}
@ATTRIBUTE act_last   {Meal_Preparation,Relax,Eating,Work,Sleeping,Wash_Dishes,Bed_to_Toilet,Enter_Home,Leave_Home,Housekeeping,Resperate}
@ATTRIBUTE startTime  {0,1,2,3,4,5}
@ATTRIBUTE dayofweek  {0,1}
@ATTRIBUTE act   {Meal_Preparation,Relax,Eating,Work,Sleeping,Wash_Dishes,Bed_to_Toilet,Enter_Home,Leave_Home,Housekeeping,Resperate}
@data

Sleeping,Bed_to_Toilet,3,0,Sleeping
Bed_to_Toilet,Sleeping,0,0,Meal_Preparation
Sleeping,Meal_Preparation,1,0,Meal_Preparation
Meal_Preparation,Meal_Preparation,1,0,Relax
Meal_Preparation,Relax,1,0,Housekeeping
Relax,Housekeeping,1,0,Meal_Preparation
Housekeeping,Meal_Preparation,1,0,Meal_Preparation
Meal_Preparation,Meal_Preparation,1,0,Eating
Meal_Preparation,Eating,1,0,Eating
Eating,Eating,1,0,Wash_Dishes
Eating,Wash_Dishes,1,0,Housekeeping
Wash_Dishes,Housekeeping,1,0,Leave_Home
Housekeeping,Leave_Home,1,0,Enter_Home
Leave_Home,Enter_Home,1,0,Leave_Home
Enter_Home,Leave_Home,1,0,Enter_Home
Leave_Home,Enter_Home,1,0,Relax
Enter_Home,Relax,1,0,Meal_Preparation
Relax,Meal_Preparation,1,0,Eating
Meal_Preparation,Eating,1,0,Work
Eating,Work,1,0,Relax
Work,Relax,1,0,Meal_Preparation
Relax,Meal_Preparation,1,0,Meal_Preparation
Meal_Preparation,Meal_Preparation,1,0,Meal_Preparation
Meal_Preparation,Meal_Preparation,1,0,Relax
Meal_Preparation,Relax,1,0,Meal_Preparation
Relax,Meal_Preparation,1,0,Relax
Meal_Preparation,Relax,1,0,Eating
Relax,Eating,1,0,Wash_Dishes
Eating,Wash_Dishes,1,0,Work
Wash_Dishes,Work,3,0,Sleeping
Work,Sleeping,4,0,Bed_to_Toilet
Sleeping,Bed_to_Toilet,4,0,Sleeping
Bed_to_Toilet,Sleeping,0,0,Meal_Preparation
Sleeping,Meal_Preparation,0,0,Work
Meal_Preparation,Work,0,0,Work
Work,Work,1,0,Work
Work,Work,1,0,Work
Work,Work,1,0,Work
Work,Work,1,0,Relax
Work,Relax,1,0,Housekeeping
Relax,Housekeeping,1,0,Leave_Home
Housekeeping,Leave_Home,1,0,Enter_Home
Leave_Home,Enter_Home,1,0,Leave_Home
Enter_Home,Leave_Home,1,0,Enter_Home
Leave_Home,Enter_Home,1,0,Leave_Home
Enter_Home,Leave_Home,1,0,Enter_Home
Leave_Home,Enter_Home,1,0,Work
Enter_Home,Work,1,0,Relax
Work,Relax,1,0,Leave_Home
Relax,Leave_Home,1,0,Enter_Home
Leave_Home,Enter_Home,1,0,Leave_Home
Enter_Home,Leave_Home,1,0,Enter_Home
Leave_Home,Enter_Home,1,0,Meal_Preparation
Enter_Home,Meal_Preparation,1,0,Meal_Preparation
Meal_Preparation,Meal_Preparation,1,0,Eating
Meal_Preparation,Eating,1,0,Wash_Dishes
Eating,Wash_Dishes,1,0,Leave_Home
Wash_Dishes,Leave_Home,1,0,Enter_Home
Leave_Home,Enter_Home,2,0,Work
Enter_Home,Work,3,0,Sleeping
Work,Sleeping,4,0,Bed_to_Toilet
Sleeping,Bed_to_Toilet,4,0,Sleeping
Bed_to_Toilet,Sleeping,1,0,Meal_Preparation
Sleeping,Meal_Preparation,1,0,Meal_Preparation
Meal_Preparation,Meal_Preparation,1,0,Eating
Meal_Preparation,Eating,1,0,Wash_Dishes
Eating,Wash_Dishes,1,0,Work
Wash_Dishes,Work,1,0,Housekeeping
Work,Housekeeping,1,0,Relax
Housekeeping,Relax,1,0,Housekeeping
Relax,Housekeeping,1,0,Meal_Preparation
Housekeeping,Meal_Preparation,1,0,Meal_Preparation
Meal_Preparation,Meal_Preparation,1,0,Eating
Meal_Preparation,Eating,1,0,Wash_Dishes
Eating,Wash_Dishes,1,0,Eating
Wash_Dishes,Eating,1,0,Leave_Home
Eating,Leave_Home,1,0,Enter_Home
Leave_Home,Enter_Home,1,0,Leave_Home
Enter_Home,Leave_Home,1,0,Enter_Home
Leave_Home,Enter_Home,1,0,Leave_Home
Enter_Home,Leave_Home,1,0,Enter_Home
Leave_Home,Enter_Home,1,0,Relax
Enter_Home,Relax,2,0,Relax
Relax,Relax,2,0,Relax
Relax,Relax,2,0,Relax
Relax,Relax,2,0,Relax
Relax,Relax,3,0,Relax
Relax,Relax,3,0,Work
Relax,Work,3,0,Sleeping
Work,Sleeping,4,0,Bed_to_Toilet
Sleeping,Bed_to_Toilet,4,0,Sleeping
Bed_to_Toilet,Sleeping,4,0,Bed_to_Toilet
Sleeping,Bed_to_Toilet,4,0,Sleeping
Bed_to_Toilet,Sleeping,4,0,Bed_to_Toilet
Sleeping,Bed_to_Toilet,4,0,Sleeping
Bed_to_Toilet,Sleeping,0,0,Meal_Preparation
Sleeping,Meal_Preparation,0,0,Meal_Preparation
Meal_Preparation,Meal_Preparation,0,0,Meal_Preparation
Meal_Preparation,Meal_Preparation,0,0,Eating
Meal_Preparation,Eating,0,0,Relax
Eating,Relax,1,0,Relax
Relax,Relax,1,0,Work
Relax,Work,1,0,Relax
Work,Relax,1,0,Meal_Preparation
Relax,Meal_Preparation,1,0,Eating
Meal_Preparation,Eating,1,0,Meal_Preparation
Eating,Meal_Preparation,1,0,Eating
Meal_Preparation,Eating,1,0,Relax
Eating,Relax,1,0,Eating
Relax,Eating,1,0,Relax
Eating,Relax,1,0,Housekeeping
Relax,Housekeeping,1,0,Work
Housekeeping,Work,1,0,Meal_Preparation
Work,Meal_Preparation,1,0,Eating
Meal_Preparation,Eating,1,0,Relax
Eating,Relax,1,0,Eating
Relax,Eating,1,0,Meal_Preparation
Eating,Meal_Preparation,1,0,Eating
Meal_Preparation,Eating,1,0,Relax
Eating,Relax,1,0,Work
Relax,Work,1,0,Relax
Work,Relax,1,0,Relax
Relax,Relax,1,0,Relax
Relax,Relax,1,0,Relax
Relax,Relax,1,0,Eating
Relax,Eating,1,0,Meal_Preparation
Eating,Meal_Preparation,1,0,Meal_Preparation
Meal_Preparation,Meal_Preparation,1,0,Eating
Meal_Preparation,Eating,1,0,Wash_Dishes
Eating,Wash_Dishes,1,0,Relax
