@RELATION Bed_to_Toilet-0_duration
@ATTRIBUTE startTime Numeric
@ATTRIBUTE duration Numeric
@data
340,2
258,2
263,3
223,3
229,1
340,3
331,2
313,2
271,3
317,3
332,3
178,3
339,4
211,3
344,3
353,3
339,2
342,3
351,3
324,4
321,3
363,2
272,4
452,3
275,3
259,3
315,2
245,2
189,3
227,3
183,3
380,3
313,3
366,2
425,2
443,4
313,4
367,3
310,2
202,2
294,6
264,2
375,2
342,2
488,3
354,2
435,3
350,3
330,3
245,3
366,3
337,2
345,3
294,4
365,2
265,2
356,3
309,2
222,2
331,2
208,4
249,3
335,2
346,6
268,1
273,3
287,2
305,2
293,3
281,2
286,2
315,2
371,1
273,2
240,3
276,2
402,4
313,2
307,5
423,2
379,1
298,3
182,1
407,2
357,7
233,2
251,3
346,1
286,3
266,3
214,1
411,2
238,1
261,3
222,2
276,2
253,1
201,2
229,2
345,2
428,2
299,1
361,1
301,1
167,2
211,1
211,2
211,2
219,1
241,2
280,2
262,3
248,3
163,3
163,3
186,1
281,2
213,2
242,2
236,1
170,2
226,2
213,2
173,2
