@RELATION Eating-0_duration
@ATTRIBUTE startTime Numeric
@ATTRIBUTE duration Numeric
@data
596,5
568,9
722,7
755,13
486,7
728,11
744,6
758,16
603,32
563,5
607,6
637,5
388,7
592,10
440,1
601,18
586,7
566,4
648,23
626,5
604,7
478,4
655,6
615,4
618,6
484,3
782,27
610,5
601,7
679,4
642,4
631,6
796,4
644,3
778,13
484,6
484,28
719,6
660,5
599,6
623,4
648,5
804,14
614,6
611,11
620,5
643,23
637,4
687,44
608,6
619,6
514,2
648,5
576,3
624,3
518,4
622,5
13,19
470,3
752,7
589,5
564,4
716,8
716,12
450,11
563,37
611,4
581,5
639,3
562,8
451,4
586,6
578,5
568,6
734,12
669,39
612,6
582,3
532,58
616,23
586,4
652,3
581,20
620,6
684,10
561,4
577,12
501,10
592,10
727,41
555,8
482,5
578,6
603,3
498,3
604,5
524,9
729,37
601,5
592,7
473,3
488,3
508,5
472,4
560,6
456,5
430,6
480,4
548,7
456,3
590,6
439,3
434,2
568,8
551,6
439,12
439,12
431,9
570,10
428,5
489,6
403,12
516,6
549,5
442,7
489,5
473,12
