@RELATION Leave_Home-0_duration
@ATTRIBUTE startTime Numeric
@ATTRIBUTE duration Numeric
@data
701,2
703,4
702,1
704,1
706,120
694,2
701,126
702,103
706,0
706,117
712,176
702,21
697,16
713,195
703,226
681,159
692,0
693,142
682,141
703,227
681,0
693,0
694,265
690,264
690,1
702,115
699,176
702,1
703,138
683,1
689,223
687,57
703,143
703,198
686,133
696,153
706,242
692,126
693,154
689,157
691,127
696,125
690,182
702,173
689,121
703,125
700,202
702,147
698,111
691,164
691,119
706,139
700,180
687,20
702,139
704,116
695,140
700,177
706,155
697,156
688,176
690,129
696,115
696,218
689,159
714,176
698,137
707,60
690,113
690,133
693,157
691,230
686,134
701,106
700,123
696,119
704,141
702,23
688,121
700,189
702,73
