@RELATION Meal_Preparation-0_duration
@ATTRIBUTE startTime Numeric
@ATTRIBUTE duration Numeric
@data
491,16
588,5
474,3
549,16
455,13
495,18
543,5
577,1
526,19
589,3
409,10
448,1
551,1
525,11
597,9
507,15
536,6
606,9
537,20
370,12
459,19
541,14
572,3
591,0
433,7
601,4
474,8
500,9
574,11
381,14
395,10
558,7
524,10
508,14
595,38
548,7
538,16
520,20
643,3
438,12
536,23
539,7
357,8
475,3
516,6
529,2
654,1
470,23
359,20
587,1
606,2
514,16
612,6
538,15
362,3
481,2
365,13
520,10
364,13
451,4
362,9
597,10
620,13
520,5
590,11
603,6
513,16
593,8
430,11
660,13
528,17
635,4
508,9
619,8
472,15
497,3
507,9
636,22
540,11
422,13
676,28
399,11
364,3
614,56
363,8
375,2
628,9
551,8
676,12
519,14
553,6
618,24
431,10
581,16
465,18
656,5
423,10
653,17
364,12
530,12
657,2
504,19
536,0
599,8
487,18
596,3
419,12
622,0
497,13
636,8
574,16
617,5
513,6
607,6
644,6
425,13
546,10
602,6
508,7
612,5
429,6
634,3
502,14
575,4
627,4
536,3
524,6
629,15
674,10
485,4
586,8
524,10
598,8
668,5
527,9
609,5
425,6
629,17
422,9
516,2
626,3
468,16
570,2
309,28
354,1
486,10
509,1
622,1
482,8
537,78
512,4
603,10
682,15
375,8
683,8
447,21
549,5
667,12
516,7
670,19
367,17
498,2
468,8
491,0
558,19
685,1
368,14
396,3
463,6
477,2
581,4
405,20
414,9
562,8
370,17
483,13
368,14
422,4
463,15
583,4
417,15
582,12
434,10
552,8
375,10
399,2
432,33
595,14
355,10
471,7
589,11
530,17
564,4
491,23
462,18
542,19
496,5
603,5
468,3
576,4
424,8
626,12
442,13
545,12
367,14
446,5
480,9
529,13
578,6
430,2
618,5
448,10
568,9
445,11
552,11
589,6
340,6
526,14
464,7
625,31
412,9
430,3
581,5
481,13
601,8
397,9
551,15
480,13
552,24
366,12
478,8
582,2
306,12
381,3
425,10
584,21
620,4
687,5
458,15
468,12
561,12
460,7
578,7
361,11
643,5
461,9
579,0
611,8
496,13
637,50
375,8
677,5
441,6
503,8
451,13
551,9
653,7
466,8
578,32
518,14
527,7
687,6
494,5
595,5
492,11
533,2
426,13
576,0
401,11
496,4
274,4
418,8
456,5
456,6
466,2
469,3
496,12
534,13
397,8
473,6
429,12
552,2
651,14
395,7
427,3
556,10
386,7
685,12
317,4
450,20
593,4
679,4
362,8
476,2
511,12
624,18
360,5
484,7
468,24
615,25
447,4
557,0
607,6
451,9
518,15
452,10
520,3
559,3
449,7
564,12
424,4
489,8
525,31
633,5
409,12
501,4
529,9
678,3
328,7
456,14
495,3
385,14
508,5
586,5
451,11
496,14
578,18
453,9
574,16
332,5
471,2
484,2
371,4
448,5
588,11
420,12
554,4
629,4
392,8
484,8
545,2
347,8
499,6
655,6
314,11
420,2
465,7
315,11
447,9
332,11
277,10
348,5
397,30
689,12
264,6
328,4
170,10
301,12
541,13
571,5
348,13
445,4
542,19
321,8
415,6
511,13
268,13
329,11
448,5
568,18
433,5
528,11
592,3
629,7
654,3
374,7
317,12
420,9
439,38
486,3
532,3
338,6
384,11
470,13
538,8
400,3
449,1
678,3
371,5
409,6
491,9
361,12
333,10
572,9
354,4
429,9
468,3
680,8
500,13
326,14
430,3
366,8
445,5
383,12
564,2
594,5
447,9
543,2
210,8
408,3
457,17
582,14
210,8
408,3
457,17
582,14
430,1
326,7
403,7
278,8
558,8
407,5
615,6
413,8
345,10
419,19
486,3
355,5
389,9
302,6
502,10
319,4
574,12
598,3
610,22
348,6
347,8
535,10
329,5
436,2
320,11
409,17
315,7
441,1
330,15
463,2
324,13
409,98
593,23
