@RELATION Relax-0_duration
@ATTRIBUTE startTime Numeric
@ATTRIBUTE duration Numeric
@data
569,4
886,26
975,6
1026,20
1048,5
575,1
818,7
671,14
1109,11
1199,182
494,19
631,83
750,7
826,26
883,25
961,7
974,45
1067,93
1240,121
1379,46
520,23
550,10
589,13
858,40
920,54
1086,33
1138,178
1344,72
551,21
613,8
848,35
929,4
947,2
975,8
1247,6
1268,35
1315,120
429,16
450,22
1141,54
1219,164
576,15
837,7
997,46
1075,105
1205,20
1239,11
1284,40
532,3
549,35
1016,320
1377,15
1411,10
590,4
724,104
858,44
915,32
1173,68
1258,85
400,7
493,5
724,19
1077,13
1096,10
1113,54
1169,238
543,4
560,24
618,3
958,9
1182,119
557,14
576,15
686,10
803,61
929,69
1062,11
1075,302
1182,231
624,8
995,141
1203,30
1265,17
1296,61
1379,55
539,60
930,6
948,176
1163,247
1430,15
595,20
680,49
786,21
976,21
1157,59
1233,153
396,16
796,11
940,50
1008,69
1094,174
516,14
590,83
793,23
830,174
1050,39
1114,4
1124,4
1131,102
1266,119
1409,43
536,63
758,79
875,18
905,41
962,61
1049,141
1219,162
1414,35
553,49
756,14
787,23
952,3
976,5
1056,14
1088,53
1165,242
531,63
718,2
882,15
899,57
1392,57
32,11
561,58
864,54
969,32
1024,28
1084,53
1157,203
1407,16
581,14
627,31
887,62
1012,62
1102,264
499,10
622,20
1075,196
1321,126
883,19
928,45
1138,11
1164,126
1304,96
1416,28
843,21
921,14
955,8
1036,8
1061,21
1106,29
1155,117
1298,46
546,36
829,58
963,93
1112,141
1278,12
1306,81
372,29
949,194
1156,46
1247,55
1310,88
1415,32
523,5
534,12
561,35
975,84
1079,66
1164,81
1272,118
1416,26
531,34
610,11
657,12
989,114
1147,4
1187,80
1291,53
382,26
1092,7
1129,22
1173,23
1225,89
523,63
594,9
852,22
994,90
1111,44
1178,194
532,33
603,2
1128,201
555,43
884,44
946,49
1068,192
1294,89
374,20
800,14
1008,62
1306,59
386,11
410,22
811,144
990,63
1069,5
1115,17
1390,129
532,19
829,18
882,11
916,247
1206,172
378,18
671,20
730,5
801,130
977,26
1022,15
1052,111
1184,13
1209,117
375,14
588,8
608,11
637,59
721,30
887,8
1228,138
1394,50
534,29
662,4
973,8
1036,14
1096,264
1392,49
532,23
580,11
753,6
971,442
443,21
879,163
1076,2
1092,125
1237,153
1414,24
546,60
933,23
1147,5
1173,48
1259,6
1277,9
1306,10
1334,29
1388,85
524,52
912,28
1023,39
1131,30
1205,50
1285,5
1310,207
491,57
728,31
796,3
1080,4
1099,6
1144,51
1222,170
500,7
521,36
802,3
895,10
948,28
1132,192
1352,92
660,48
759,4
800,5
838,60
921,6
943,19
1011,4
1020,5
1028,6
1039,29
1072,26
1113,164
1301,139
557,60
842,9
863,18
931,7
1020,137
1196,67
1291,86
1399,41
435,15
731,16
950,18
1009,5
1105,30
1156,172
419,15
809,18
892,9
1405,5
578,20
685,65
972,75
1066,114
1208,129
1353,40
371,3
378,41
437,123
595,19
645,20
681,9
737,77
830,8
1121,191
571,38
649,14
739,8
1398,66
536,16
565,48
693,2
830,29
935,11
974,163
1168,18
1203,36
1253,54
1323,10
1344,79
446,18
476,14
503,17
607,47
704,4
782,218
1124,84
1230,18
1263,54
1329,127
61,31
523,7
565,14
605,15
663,3
739,3
762,19
1022,42
1099,60
1194,268
435,10
840,5
882,15
912,73
1002,26
1041,82
