@RELATION Sleeping-0_duration
@ATTRIBUTE startTime Numeric
@ATTRIBUTE duration Numeric
@data
1368,335
1432,347
1434,35
1438,392
1407,346
1360,351
1436,319
1358,443
1434,337
1428,48
1422,42
1418,38
1314,25
1341,442
1435,328
1411,13
1426,334
1350,620
1409,302
1356,22
1381,333
1338,360
1429,31
1360,324
1405,223
1388,408
1407,16
1426,240
1335,288
1439,366
1433,30
1358,284
1421,376
1400,333
1331,646
1436,268
1362,495
1409,361
1403,460
1368,408
1325,418
1436,478
1359,521
1383,278
1315,331
1352,449
1422,353
1428,373
1255,656
1380,352
1438,287
1418,428
1418,393
1368,344
1354,325
1437,278
1389,351
1380,516
1432,459
1341,405
1417,465
1398,412
1413,449
1374,363
1401,183
1362,486
1401,271
1372,334
1387,267
1407,476
1425,252
1422,279
1409,253
1423,438
1341,299
1428,390
1426,312
1260,257
1403,338
1416,414
1426,324
1395,372
1264,280
1239,464
1270,337
1411,372
1357,293
1375,471
1384,319
1336,427
1331,319
1333,419
1378,273
1288,370
1403,278
1364,337
1372,392
1330,463
1424,263
1348,457
1360,448
1323,270
1322,280
1304,-1141
1304,472
1368,258
1415,347
1335,385
1351,363
1379,274
1408,184
1364,316
1330,448
1280,395
1364,246
1396,269
1297,240
1337,316
1337,276
1284,280
1418,346
1395,358
1330,107
