@RELATION Wash_Dishes-0_duration
@ATTRIBUTE startTime Numeric
@ATTRIBUTE duration Numeric
@data
603,1
1057,17
989,0
578,2
729,1
1060,5
856,0
1142,6
1160,1
397,2
939,7
613,5
444,4
1175,2
1262,0
660,10
885,9
578,9
1302,1
615,14
1101,10
1306,4
1183,4
987,27
1051,16
684,6
725,1
666,6
1134,7
661,28
1166,4
913,8
670,2
1121,6
1331,3
654,8
1252,2
1243,2
615,3
1008,2
1096,1
1165,36
1214,4
1182,3
1251,1
1182,3
771,5
674,4
615,4
589,2
571,4
1249,3
598,6
633,5
1066,24
1254,14
1197,10
607,24
599,7
1303,6
1230,9
437,6
1103,1
1103,1
