@RELATION Work-0_duration
@ATTRIBUTE startTime Numeric
@ATTRIBUTE duration Numeric
@data
947,22
1075,2
807,2
1340,17
1408,24
877,1
969,1
1192,13
1029,0
1053,24
1157,83
1262,19
923,33
970,26
961,123
910,18
956,35
757,20
1043,3
979,38
932,57
858,15
1010,11
830,16
737,33
830,10
863,8
1086,12
942,22
855,28
923,46
885,99
1384,40
889,28
1028,96
1045,43
991,1
764,2
1077,8
1329,18
1067,2
945,4
1111,3
736,78
868,116
993,55
823,35
946,31
813,53
815,9
927,15
1036,13
1235,13
1084,1
1108,22
953,20
789,4
992,7
1033,2
952,26
980,25
1254,51
1152,6
1122,12
1174,15
968,4
879,8
1046,24
1098,5
952,16
1061,3
