@RELATION activityRelation 
@ATTRIBUTE preActivity {Sleeping,Bathing,UsingPC,Leave_Home,Enter_Home,Eating,Exercise}
@ATTRIBUTE currentActivity {Sleeping,Bathing,UsingPC,Leave_Home,Enter_Home,Eating,Exercise}
@ATTRIBUTE startTime {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23}
@ATTRIBUTE nextStartTime {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23}
@ATTRIBUTE duration NUMERIC
@ATTRIBUTE dayofweek {0,1,2,3,4,5,6}
@ATTRIBUTE NextActivity {Sleeping,Bathing,UsingPC,Leave_Home,Enter_Home,Eating,Exercise}
@data
Sleeping,Bathing,7,7,25,3,UsingPC
Bathing,UsingPC,7,7,13,3,Leave_Home
UsingPC,Leave_Home,8,8,28,3,Enter_Home
Leave_Home,Enter_Home,8,8,3,3,Eating
Enter_Home,Eating,9,9,25,3,UsingPC
Eating,UsingPC,12,12,180,3,Eating
UsingPC,Eating,13,13,57,3,UsingPC
Eating,UsingPC,17,17,260,3,Eating
UsingPC,Eating,18,18,25,3,Leave_Home
Eating,Leave_Home,19,19,50,3,Enter_Home
Leave_Home,Enter_Home,19,19,2,3,Exercise
Enter_Home,Exercise,21,21,115,3,Bathing
Exercise,Bathing,21,21,20,3,UsingPC
Bathing,UsingPC,23,23,123,3,Sleeping
UsingPC,Sleeping,7,7,453,3,Bathing
Sleeping,Bathing,7,7,10,4,Eating
Bathing,Eating,7,7,26,4,Leave_Home
Eating,Leave_Home,8,8,35,4,Enter_Home
Leave_Home,Enter_Home,8,8,3,4,UsingPC
Enter_Home,UsingPC,12,12,195,4,Eating
UsingPC,Eating,13,13,57,4,UsingPC
Eating,UsingPC,18,18,290,4,Leave_Home
UsingPC,Leave_Home,19,19,53,4,Enter_Home
Leave_Home,Enter_Home,19,19,2,4,Eating
Enter_Home,Eating,19,20,51,4,UsingPC
Eating,UsingPC,23,23,185,4,Bathing
UsingPC,Bathing,23,23,30,4,Sleeping
Bathing,Sleeping,6,6,422,4,Bathing
Sleeping,Bathing,7,7,18,5,UsingPC
Bathing,UsingPC,7,7,38,5,Leave_Home
UsingPC,Leave_Home,8,8,24,5,Enter_Home
Leave_Home,Enter_Home,8,8,3,5,Eating
Enter_Home,Eating,8,8,20,5,UsingPC
Eating,UsingPC,11,12,183,5,Eating
UsingPC,Eating,12,12,40,5,UsingPC
Eating,UsingPC,17,17,300,5,Eating
UsingPC,Eating,18,19,60,5,Leave_Home
Eating,Leave_Home,20,20,60,5,Enter_Home
Leave_Home,Enter_Home,20,20,3,5,Exercise
