
 @RELATION predict

 @ATTRIBUTE act_last_two  {0,1,2,3,4,5,6,7,8,9,10,11,12}
 @ATTRIBUTE act_last   {0,1,2,3,4,5,6,7,8,9,10,11,12}
 @ATTRIBUTE startTime  {0,1,2,3,4,5}
 @ATTRIBUTE dayofweek  {0,1}
 @ATTRIBUTE act   {0,1,2,3,4,5,6,7,8,9,10,11,12}
 @data

1,12,1,0,6
12,6,1,0,12
6,12,1,0,1
12,1,2,0,12
1,12,2,0,9
12,9,2,0,12
9,12,2,0,9
12,9,2,0,12
9,12,2,0,2
12,2,2,0,12
2,12,2,0,11
12,11,2,0,12
11,12,2,0,9
12,9,2,0,12
9,12,2,0,9
12,9,2,0,12
9,12,2,0,3
12,3,2,0,12
3,12,2,0,3
12,3,2,0,12
3,12,2,0,10
12,10,2,0,12
10,12,2,0,11
12,11,2,0,12
11,12,2,0,7
12,7,2,0,12
7,12,2,0,8
12,8,2,0,12
8,12,2,0,7
12,7,2,0,12
7,12,2,0,8
12,8,2,0,12
8,12,3,0,2
12,2,3,0,12
2,12,3,0,9
12,9,3,0,12
9,12,3,0,3
12,3,3,0,12
3,12,3,0,5
12,5,4,0,12
5,12,4,0,2
12,2,4,0,12
2,12,4,0,9
12,9,4,0,12
9,12,4,0,9
12,9,4,0,12
9,12,4,0,9
12,9,4,0,12
9,12,4,0,2
12,2,4,0,12
2,12,4,0,9
12,9,4,0,12
9,12,4,0,2
12,2,4,0,12
2,12,4,0,3
12,3,4,0,12
3,12,4,0,10
12,10,4,0,12
10,12,4,0,5
12,5,4,0,12
5,12,0,1,1
12,1,1,1,12
1,12,1,1,6
12,6,1,1,12
6,12,1,1,1
12,1,1,1,12
1,12,1,1,9
12,9,1,1,12
9,12,1,1,5
12,5,2,1,12
5,12,2,1,5
12,5,2,1,12
5,12,2,1,5
12,5,2,1,12
5,12,2,1,5
12,5,2,1,12
5,12,2,1,5
12,5,2,1,12
5,12,2,1,2
12,2,2,1,12
2,12,2,1,11
12,11,2,1,12
11,12,2,1,7
12,7,2,1,12
7,12,3,1,8
12,8,3,1,12
8,12,3,1,7
12,7,3,1,12
7,12,3,1,8
12,8,3,1,12
8,12,3,1,7
12,7,3,1,12
7,12,3,1,8
12,8,3,1,12
8,12,3,1,5
12,5,3,1,12
5,12,3,1,2
12,2,3,1,12
2,12,3,1,7
12,7,3,1,12
7,12,3,1,8
12,8,3,1,12
8,12,4,1,7
12,7,4,1,12
7,12,4,1,8
12,8,4,1,12
8,12,4,1,9
12,9,4,1,12
9,12,4,1,9
12,9,4,1,12
9,12,4,1,3
12,3,4,1,12
3,12,4,1,10
12,10,4,1,12
10,12,4,1,7
12,7,4,1,12
7,12,4,1,8
12,8,4,1,12
8,12,5,1,5
12,5,5,1,12
5,12,5,1,1
12,1,1,1,12
1,12,1,1,6
12,6,1,1,12
6,12,1,1,1
12,1,2,1,12
1,12,2,1,9
12,9,2,1,12
9,12,2,1,9
12,9,2,1,12
9,12,2,1,3
12,3,2,1,12
3,12,2,1,10
12,10,2,1,12
10,12,2,1,5
12,5,2,1,12
5,12,2,1,11
12,11,2,1,12
11,12,2,1,2
12,2,2,1,12
2,12,2,1,11
12,11,2,1,12
11,12,2,1,9
12,9,2,1,12
9,12,2,1,9
12,9,3,1,12
9,12,3,1,3
12,3,3,1,12
3,12,3,1,10
12,10,3,1,12
10,12,3,1,3
12,3,3,1,12
3,12,3,1,7
12,7,3,1,12
7,12,4,1,8
12,8,4,1,12
8,12,4,1,7
12,7,4,1,12
7,12,4,1,8
12,8,4,1,12
8,12,4,1,7
12,7,4,1,12
7,12,4,1,8
12,8,4,1,12
8,12,4,1,2
12,2,4,1,12
2,12,4,1,2
12,2,5,1,12
2,12,5,1,2
12,2,5,1,12
2,12,5,1,2
12,2,5,1,12
2,12,5,1,2
12,2,5,1,12
2,12,5,1,2
12,2,5,1,12
2,12,5,1,5
12,5,5,1,12
5,12,0,0,1
12,1,0,0,12
1,12,0,0,6
12,6,0,0,12
6,12,0,0,1
12,1,0,0,12
1,12,0,0,6
12,6,0,0,12
6,12,0,0,1
12,1,0,0,12
1,12,0,0,6
12,6,0,0,12
6,12,0,0,1
12,1,1,0,12
1,12,1,0,9
12,9,1,0,12
9,12,1,0,9
12,9,1,0,12
9,12,2,0,9
12,9,2,0,12
9,12,2,0,3
12,3,2,0,12
3,12,2,0,2
12,2,2,0,12
2,12,2,0,2
12,2,2,0,12
2,12,2,0,5
12,5,2,0,12
5,12,2,0,2
12,2,2,0,12
2,12,3,0,9
12,9,3,0,12
9,12,3,0,3
12,3,3,0,12
3,12,3,0,9
12,9,3,0,12
9,12,3,0,3
12,3,3,0,12
3,12,3,0,2
12,2,3,0,12
2,12,3,0,3
12,3,3,0,12
3,12,3,0,2
12,2,3,0,12
2,12,3,0,11
12,11,3,0,12
11,12,3,0,5
12,5,3,0,12
5,12,3,0,9
12,9,3,0,12
9,12,3,0,3
12,3,3,0,12
3,12,3,0,2
12,2,3,0,12
2,12,3,0,3
12,3,3,0,12
3,12,3,0,9
12,9,3,0,12
9,12,3,0,3
12,3,3,0,12
3,12,4,0,2
12,2,4,0,12
2,12,4,0,5
12,5,4,0,12
5,12,4,0,2
12,2,4,0,12
2,12,4,0,2
12,2,4,0,12
2,12,4,0,2
12,2,4,0,12
2,12,4,0,2
12,2,4,0,12
2,12,4,0,3
12,3,4,0,12
3,12,4,0,9
12,9,4,0,12
9,12,4,0,9
12,9,4,0,12
9,12,4,0,3
12,3,4,0,12
3,12,4,0,10
12,10,4,0,12
10,12,4,0,2
12,2,4,0,12
2,12,4,0,2
12,2,4,0,12
2,12,4,0,2
12,2,4,0,12
2,12,4,0,5
12,5,5,0,12
5,12,5,0,3
12,3,5,0,12
3,12,5,0,2
12,2,5,0,12
2,12,5,0,2
12,2,5,0,12
2,12,5,0,2
12,2,5,0,12
2,12,5,0,2
12,2,5,0,12
2,12,5,0,1
12,1,1,0,12
1,12,1,0,6
12,6,1,0,12
6,12,1,0,1
12,1,2,0,12
1,12,2,0,9
12,9,2,0,12
9,12,2,0,9
12,9,2,0,12
9,12,2,0,9
12,9,2,0,12
9,12,2,0,9
12,9,2,0,12
9,12,2,0,2
12,2,2,0,12
2,12,2,0,9
12,9,2,0,12
9,12,2,0,2
12,2,2,0,12
2,12,2,0,9
12,9,2,0,12
9,12,2,0,9
12,9,2,0,12
9,12,2,0,2
12,2,2,0,12
2,12,2,0,3
12,3,2,0,12
3,12,2,0,3
12,3,2,0,12
3,12,2,0,3
12,3,2,0,12
3,12,2,0,7
12,7,2,0,12
7,12,2,0,8
12,8,2,0,12
8,12,2,0,7
12,7,2,0,12
7,12,2,0,8
12,8,2,0,12
8,12,2,0,7
12,7,2,0,12
7,12,3,0,8
12,8,3,0,12
8,12,3,0,9
12,9,3,0,12
9,12,3,0,9
12,9,3,0,12
9,12,3,0,3
12,3,3,0,12
3,12,3,0,10
12,10,3,0,12
10,12,3,0,2
12,2,3,0,12
2,12,3,0,2
12,2,4,0,12
2,12,4,0,11
12,11,4,0,12
11,12,4,0,7
12,7,4,0,12
7,12,4,0,8
12,8,4,0,12
8,12,4,0,5
12,5,4,0,12
5,12,4,0,7
12,7,4,0,12
7,12,4,0,8
12,8,4,0,12
8,12,4,0,5
12,5,4,0,12
5,12,4,0,5
12,5,4,0,12
5,12,4,0,2
12,2,4,0,12
2,12,4,0,9
12,9,4,0,12
9,12,4,0,9
12,9,4,0,12
9,12,4,0,3
12,3,4,0,12
3,12,4,0,2
12,2,4,0,12
2,12,4,0,2
12,2,4,0,12
2,12,4,0,2
12,2,4,0,12
2,12,5,0,2
12,2,5,0,12
2,12,5,0,2
12,2,5,0,12
2,12,5,0,2
12,2,5,0,12
2,12,5,0,2
12,2,5,0,12
2,12,5,0,1
12,1,0,0,12
1,12,0,0,6
12,6,0,0,12
6,12,0,0,1
12,1,1,0,12
1,12,1,0,6
12,6,1,0,12
6,12,1,0,1
12,1,2,0,12
1,12,2,0,9
12,9,2,0,12
9,12,2,0,9
12,9,2,0,12
9,12,2,0,9
12,9,2,0,12
9,12,2,0,2
12,2,2,0,12
2,12,2,0,2
12,2,2,0,12
2,12,2,0,9
12,9,2,0,12
9,12,2,0,9
12,9,2,0,12
9,12,2,0,11
12,11,2,0,12
11,12,2,0,2
12,2,2,0,12
2,12,2,0,2
12,2,2,0,12
2,12,2,0,11
12,11,2,0,12
11,12,2,0,7
12,7,2,0,12
7,12,2,0,8
12,8,2,0,12
8,12,2,0,7
12,7,2,0,12
7,12,3,0,8
12,8,3,0,12
8,12,3,0,3
12,3,3,0,12
3,12,3,0,9
12,9,3,0,12
9,12,3,0,9
12,9,3,0,12
9,12,3,0,3
12,3,3,0,12
3,12,3,0,2
12,2,3,0,12
2,12,3,0,2
12,2,3,0,12
2,12,3,0,7
12,7,3,0,12
7,12,3,0,8
12,8,3,0,12
8,12,3,0,2
12,2,3,0,12
2,12,3,0,2
12,2,3,0,12
2,12,4,0,2
12,2,4,0,12
2,12,4,0,9
12,9,4,0,12
9,12,4,0,9
12,9,4,0,12
9,12,4,0,9
12,9,4,0,12
9,12,4,0,3
12,3,4,0,12
3,12,4,0,9
12,9,4,0,12
9,12,4,0,3
12,3,4,0,12
3,12,4,0,3
12,3,4,0,12
3,12,4,0,3
12,3,4,0,12
3,12,4,0,3
12,3,4,0,12
3,12,4,0,10
12,10,4,0,12
10,12,4,0,10
12,10,4,0,12
10,12,4,0,5
12,5,5,0,12
5,12,5,0,2
12,2,5,0,12
2,12,5,0,2
12,2,5,0,12
2,12,5,0,2
12,2,5,0,12
2,12,5,0,1
12,1,0,0,12
1,12,0,0,1
12,1,1,0,12
